Abebech Gobena MCH Hospita,9.021577959989834, 38.8898874274164
Mekedonia Elders,9.021598092710288, 38.89287276492035
The Macedonians Humanitarian Association (MHA),9.020937727980433, 38.892177261169685
ቅዱስ ጊዩርጊስ ቤተክርሰቲያን,9.013554968017651, 38.899630777973165
Kidus movie center,9.014804552395074, 38.895060474428284
Ayat Tsebel Condominium,9.014481975463012, 38.89339464305505
Nashcon Constructoin , 9.00108242169835, 38.89522408597896
አያት ጨፌ ቅድስት ማርያም , 9.001159936043326, 38.903048971193975
Addis Mender | ayat | አዲስ መደር | አያት,9.019183392161196, 38.88278026558267
Ethiobest realestate,9.018666720519121, 38.88901720740025
Nashi Mind Solution Training Private Limited Compa,9.016950480815467, 38.889067185787894
Abdulrazaq And His Family Trading Plc,9.019068598039917, 38.891609248175946
Ayat Tsebel Condominium Block 09,9.019284713995269, 38.89241051214859
አያት 49 ኮንዶሚኒየም| Hayat 49 condominium,9.01146083417364, 38.89390398147642
Ayat 49 mazoriya| አያት 49 ማዞሪያ,9.010625451266007, 38.894653097622175
49 Condominum,9.009847483346508, 38.893660054707425
yerer homes , 9.008599400778687, 38.891107307127065
chefie Codominiums , 9.003522391796777, 38.88979978121497
feres bet ,9.02103741000257, 38.887477531794076
ethio best realstate , 9.018662571827665, 38.889014930793266
balderas horse racing club , 9.015797879624529, 38.887959106734826
dm driving school training area  ,9.020585804070478, 38.88592018738745
impace international engineering , 9.010726722730043, 38.88704018896007
WB international , 9.009676340855952, 38.889026789932224
Sisay Desta Real State , 9.008901124148212, 38.88719084552965
villa anbesa  , 9.019743243126728, 38.88326216733611
addis mender ayat , 9.019180408834186, 38.88278037124787
Tomi n Eli's ,9.018518653062177, 38.88236975365587
Haile real estate , 9.01576861159042, 38.88327078681159
Mello Ayat , 9.019381864503444, 38.880660712984024
Ayat Adebabay , 9.020180788949347, 38.879520436803396
Quest Ethiopia Tours , 9.020135405792875, 38.878598369371396
Med One Drug Store , 9.019036429100824, 38.87946915558886
Shooting start , 9.018803737686643, 38.87903635145394
Happy Speciality Children clinic , 9.017631564501595, 38.87943757850411
hemen pharmacy , 9.015914496929762, 38.87945784934145
lemi kura transport authority , 9.018239405493784, 38.87396518241529
hayat apartments , 9.020205170152954, 38.87282525231774
ayat zone 2 , 9.018623738528639, 38.87156850970752
ayat zone 3 , 9.01534744379839, 38.87359078081126
mohammed shkur hassen , 9.017124207322473, 38.875887366291856
hirut abreham adane , 9.018094492931786, 38.87543442859985
abdurahim shfi wabso , 9.01934199916899, 38.87527494349704
meskerem berhanu ameni , 9.019833439836287, 38.87526218468881
hayat shamile sherifa , 9.018428421791565, 38.877597046594076
jemila abdulkadir adem , 9.018371716912618, 38.87826070817625
flagot hailemariam woldeyes , 9.015750681677153, 38.878828475142285
b and b kitfo trading , 9.016292531867677, 38.87387805755078
saly fish house , 9.020198869642304, 38.87430791330135
bayoushe alemyouh kinfu , 9.019978351700177, 38.873497728979025
tesfu hotel , 9.018743448734616, 38.873051170691134
kalkidan negash wayasa , 9.01810709402644, 38.87220908934825
mjs kitchen , 9.020305978308425, 38.871768910464475
wima pizza and burger , 9.017344727008116, 38.87248978312921
zuriyash mall , 9.015656172839723, 38.87154563132052
meseret argaw tadesse , 9.016046809207612, 38.87046113262135
rumana travel agency , 9.015095419895525, 38.869319219285174
the bake shop kitchen , 9.016909988070319, 38.869044904908314
zewditu weldekidan yimer , 9.017981083060102, 38.86946594557976
ey construction , 9.018989169559335, 38.870212335860955
abune gebremenfes kidus church , 9.016002705122718, 38.86828535571355
Ozone Travel and Tour PLC , 9.016250359872783, 38.867278439109455
sied and tesfaye construction partnership
meaza israel Dubale , 9.01830603032943, 38.86623774200778
aymuyu spare parts trading , 9.019063658499404, 38.86520045799031
Dasol , 9.016928520492367, 38.86539894145816
fidel , 9.016896731741785, 38.864814219890725
Meri Primary School , 9.016584142211915, 38.864819584308776
Moses buki home , 9.01543444618934, 38.864486990389686
Amesale Belay Engidasewu , 9.016361620686771, 38.86413830321644
Techno Woll Almuniym , 9.017553698685187, 38.863569674903154
Rejib shay bet , 9.01942392867971, 38.8639183620764
Hana Gudeta Ageta , 9.019667640656616, 38.8637252430266
meri market , 9.019535188515666, 38.86433142226623
mereshu , 9.015270203601604, 38.86214810411994
Jehovah's Witness Kingdom Hall , 9.017427183120095, 38.86184514552508
yotor hotel , 9.017742584635556, 38.86163334738185
bole sub city woreda 10 administration , 9.018847463656828, 38.86179574049853
sisay bahirdar khat , 9.019597366588565, 38.86137973305776
bibleway church , 9.018775147634596, 38.86136059484542
zeleke kurs bet , 9.019462392519845, 38.861379742292
utopia international taekwondo club , 9.017857068383732, 38.86049193110475
bole cmc police station , 9.017960381538117, 38.86002790894344
geta mola habtemariam , 9.0182888641915, 38.85953974690089
empire tour , 9.018680923741353, 38.859212517399854
adicho constructoin , 9.019552459999142, 38.857970489733944
hami guest house , 9.018651784194873, 38.85732675956796
melu-e inter generational excellence center , 9.01954451286952, 38.85730261968673
dream massage, 9.01932729125877, 38.85687346624274
alina minimarket , 9.019170997579906, 38.85672326253734
mearaf restaurant and meat house , 9.018087536149071, 38.856532825696576
tobiya kurt bet , 9.017727264635042, 38.85659183429512
Betika! ,9.01740937770646, 38.856570376622926
Spirits Ice Cream Private Limited Company  , 9.018272969876435, 38.85444139617828
A to Z Mini Market , 9.019552459999142, 38.85303860085824
Abresh Asrat Asmamaw , 9.018670327542905, 38.85273551123842
Mebirat Mini Market , 9.017454411705026, 38.85268454926695
Semit Police Station , 9.017957732483245, 38.85109301983912
